No;Pertandingan / Match;Tempat / Venue;Waktu / Time
1;Russia – Saudi Arabia;Moskwa Luzhniki;2018-06-14/22.00
2;Egypt – Uruguay;Yekaterinburg;2018-06-15/19.00
3;Russia – Egypt;St. Petersburg;2018-06-20/01.00
4;Uruguay – Saudi Arabia;Rostov-on-Don;2018-06-20/22.00
5;Saudi Arabia – Egypt;Vologorad;2018-06-25/21.00
6;Uruguay – Russia;Samara;2018-06-25/21.00
7;Portugal – Spain;Sochi;2018-06-16/01.00
8;Morocco – Iran;St. Petersburg;2018-06-15/22.00
9;Portugal – Morocco;Moskwa Luzhniki;2018-06-20/19.00
10;Iran – Spain;Kazan;2018-06-21/01.00
11;Spain – Morocco;Kaliningrad;2018-06-26/01.00
12;Iran – Portugal;Saransk;2018-06-26/01.00
13;France – Australia;Kazan;2018-06-16/17.00
14;Peru – Denmark;Saransk;2018-06-16/23.00
15;France – Peru;Yekaterinburg;2018-06-21/22.00
16;Denmark – Australia;Samara;2018-06-21/19.00
17;Denmark – France;Moskwa Luzhniki;2018-06-26/21.00
18;Australia – Peru;Sochi;2018-06-26/21.00
19;Argentina – Iceland;Moskwa Spartak;2018-06-16/20.00
20;Croatia – Nigeria;Kaliningrad;2018-06-17/02.00
21;Argentina – Croatia;Nizhni Novgorod;2018-06-22/01.00
22;Nigeria – Iceland;Volgograd;2018-06-22/22.00
23;Iceland – Croatia;Rostov-on-Don;2018-06-27/01.00
24;Nigeria – Argentina;St. Petersburg;2018-06-27/01.00
25;Brazil – Switzerland;Rostov-on-Don;2018-06-18/01.00
26;Costa Rica – Serbia;Samara;2018-06-17/19.00
27;Brazil – Costa Rica;St. Petersburg;2018-06-22/19.00
28;Serbia – Switzerland;Kaliningrad;2018-06-23/01.00
29;Serbia – Brazil;Moskwa Spartak;2018-06-28/01.00
30;Switzerland – Costa Rica;Nizhni Novgorod;2018-06-28/01.00
31;Germany – Mexico;Moskwa Luzhniki;2018-06-17/22.00
32;Sweden – South Korea;Nizhni Novgorod;2018-06-18/19.00
33;Germany – Sweden;Sochi;2018-06-24/01.00
34;South Korea – Mexico;Rostov-on-Don;2018-06-23/22.00
35;South Korea – Germany;Kazan;2018-06-27/21.00
36;Mexico – Sweden;Yekaterinburg;2018-06-27/21.00
37;Belgium – Panama;Sochi;2018-06-18/22.00
38;Tunisia – England;Volovograd;2018-06-19/01.00
39;Belgium – Tunisia;Moskwa Spartak;2018-06-23/19.00
40;England – Panama;Nizhni Novgorod;2018-06-24/19.00
41;England – Belgium;Kaliningrad;2018-06-29/01.00
42;Poland – Senegal;Moskwa Spartak;2018-06-19/22.00
43;Colombia – Japan;Saransk;2018-06-19/19.00
44;Japan – Senegal;Yekaterinburg;2018-06-24/22.00
45;Poland – Colombia;Kazan;2018-06-25/01.00
46;Japan – Poland;Volgograd;2018-06-28/21.00
47;Senegal – Colombia;Samara;2018-06-28/21.00
